id,branch_code,official_name,display_name,search_group
265,0301429310,Electrical Engineering,Electrical Engineering,
266,0301461210,Mechanical Engineering,Mechanical Engineering,
267,0303319110,Civil Engineering,Civil Engineering,
268,0303324510,Computer Engineering,Computer Engineering,
269,0303324610,Information Technology,Information Technology,
270,0303329310,Electrical Engineering,Electrical Engineering,
271,0303337210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
272,0303337810,Electronics Engineering ( VLSI Design and Technology),Electronics Engineering ( VLSI Design and Technology),
273,0303352710,Petro Chemical Engineering,Petro Chemical Engineering,
274,0303650710,Chemical Engineering,Chemical Engineering,
275,0303651210,"Oil,Oleochemicals and Surfactants Technology","Oil,Oleochemicals and Surfactants Technology",
276,0303651310,Pharmaceuticals Chemistry and Technology,Pharmaceuticals Chemistry and Technology,
277,0303651910,Polymer Engineering and Technology,Polymer Engineering and Technology,
278,0303653410,Food Engineering and Technology,Food Engineering and Technology,
279,0304229310,Electrical Engineering,Electrical Engineering,
280,0304250410,Food Technology And Management,Food Technology And Management,
281,0304262410,Mechatronics Engineering,Mechatronics Engineering,
282,0304291810,Civil and infrastructure Engineering,Civil and infrastructure Engineering,
283,0304299510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
284,0313524510,Computer Engineering,Computer Engineering,
285,0313524610,Information Technology,Information Technology,
286,0313537210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
287,0313561210,Mechanical Engineering,Mechanical Engineering,
288,0313599510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
289,0313924510,Computer Engineering,Computer Engineering,
290,0313924610,Information Technology,Information Technology,
291,0313937210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
292,0313946110,Bio Medical Engineering,Bio Medical Engineering,
293,0313990010,Electronics and Computer Science,Electronics and Computer Science,
294,0314624510,Computer Engineering,Computer Engineering,
295,0314624610,Information Technology,Information Technology,
296,0314629310,Electrical Engineering,Electrical Engineering,
