academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,192,0211324210,Computer Science and Engineering,240,156,0,36,48,2,24,0211324211,12,FE_2024_SeatMatrix.pdf,52,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,0211325710,Computer Science and Design,120,102,0,18,0,1,12,0211325711,6,FE_2024_SeatMatrix.pdf,53,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,114,0211326310,Artificial Intelligence (AI) and Data Science,120,96,0,18,6,1,12,0211326311,6,FE_2024_SeatMatrix.pdf,54,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,0211329310,Electrical Engineering,120,102,0,18,0,1,12,0211329311,6,FE_2024_SeatMatrix.pdf,55,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,60,0211337210,Electronics and Telecommunication Engg,60,51,0,9,0,1,6,0211337211,3,FE_2024_SeatMatrix.pdf,56,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,60,0211350110,Plastic and Polymer Engineering,60,51,0,9,0,1,6,,0,FE_2024_SeatMatrix.pdf,57,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,0211361210,Mechanical Engineering,120,102,0,18,0,1,12,0211361211,6,FE_2024_SeatMatrix.pdf,58,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,30,0211362410,Mechatronics Engineering,30,25,0,5,0,0,3,0211362411,2,FE_2024_SeatMatrix.pdf,59,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,0211384410,Electronics and Computer Engineering,120,102,0,18,0,1,12,0211384411,6,FE_2024_SeatMatrix.pdf,60,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301219110,Civil Engineering,60,60,0,0,0,1,6,0301219111,3,FE_2024_SeatMatrix.pdf,61,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301224510,Computer Engineering,60,60,0,0,0,1,6,0301224511,3,FE_2024_SeatMatrix.pdf,62,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301224610,Information Technology,60,60,0,0,0,1,6,0301224611,3,FE_2024_SeatMatrix.pdf,63,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301229310,Electrical Engineering,60,60,0,0,0,1,6,0301229311,3,FE_2024_SeatMatrix.pdf,64,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,6,0301237211,3,FE_2024_SeatMatrix.pdf,65,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301237610,Electronics Engineering,60,60,0,0,0,1,6,0301237611,3,FE_2024_SeatMatrix.pdf,66,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301261210,Mechanical Engineering,60,60,0,0,0,1,6,0301261211,3,FE_2024_SeatMatrix.pdf,67,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301262610,Production Engineering[Sandwich],60,60,0,0,0,1,6,0301262611,3,FE_2024_SeatMatrix.pdf,68,false,
2024-25,FE,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,0301289610,Textile Technology,60,60,0,0,0,1,6,0301289611,3,FE_2024_SeatMatrix.pdf,69,false,
2024-25,FE,03014,"Sardar Patel College of Engineering, Andheri",Government-Aided Autonomous,Government-Aided,true,60,0301419110,Civil Engineering,60,60,0,0,0,1,6,0301419111,3,FE_2024_SeatMatrix.pdf,70,false,
2024-25,FE,03014,"Sardar Patel College of Engineering, Andheri",Government-Aided Autonomous,Government-Aided,true,60,0301429310,Electrical Engineering,60,60,0,0,0,1,6,0301429311,3,FE_2024_SeatMatrix.pdf,71,false,
2024-25,FE,03014,"Sardar Patel College of Engineering, Andheri",Government-Aided Autonomous,Government-Aided,true,60,0301461210,Mechanical Engineering,60,60,0,0,0,1,6,0301461211,3,FE_2024_SeatMatrix.pdf,72,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,75,0303650710,Chemical Engineering,75,52,0,23,0,1,8,0303650711,4,FE_2024_SeatMatrix.pdf,73,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,18,0303651110,Dyestuff Technology,18,13,0,5,0,0,2,0303651111,1,FE_2024_SeatMatrix.pdf,74,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,0303651210,"Oil,Oleochemicals and Surfactants Technology",16,11,0,5,0,0,2,0303651211,1,FE_2024_SeatMatrix.pdf,75,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,18,0303651310,Pharmaceuticals Chemistry and Technology,18,13,0,5,0,0,2,0303651311,1,FE_2024_SeatMatrix.pdf,76,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,34,0303651410,Fibres and Textile Processing Technology,34,24,0,10,0,0,3,0303651411,2,FE_2024_SeatMatrix.pdf,77,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,0303651910,Polymer Engineering and Technology,16,11,0,5,0,0,2,0303651911,1,FE_2024_SeatMatrix.pdf,78,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,0303653410,Food Engineering and Technology,16,11,0,5,0,0,2,0303653411,1,FE_2024_SeatMatrix.pdf,79,false,
2024-25,FE,03036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,0303672910,Surface Coating Technology,16,11,0,5,0,0,2,0303672911,1,FE_2024_SeatMatrix.pdf,80,false,
